,cluster_id,momentum
AKAM,1629,0.012534435261708
ALB,1875,-0.015453580276041
ALE,1897,0.0068638666448765
ALEC,1487,-0.0351288056206088
ALEX,232,0.0241028387787893
ALG,232,0.0182575799111794
ALGN,1698,0.0119870759289175
ALGT,1628,0.0115065821550464
ALK,1851,0.0031361070457871
ALKS,1923,0.0168287210172028
ALLE,1413,-0.0017744654422854
ALLK,1596,-0.0252100840336134
ALLO,1026,-0.0519685039370079
ALLY,829,0.0049916805324459
ALNY,1549,0.0156176547401409
ALRM,1991,-0.0153452685421995
ALSN,1584,0.0258947368421051
ALT,1099,-0.0818109610802223
ALTO,1974,0.0068493150684931
ALTR,1468,0.0176397127692786
AM,103,0.0094876660341556
AMBC,1301,0.026586102719033
AMCX,1438,0.0129695885509839
AMD,1390,0.0236701450750826
AME,104,0.0055100310822266
AMED,1465,-0.0515497553017945
AMEH,1550,0.0848137535816619
AMG,1166,0.0049557744181669
AMGN,0,0.01329534662868
AMH,122,-0.0161186331399096
AMKR,1408,0.0139751552795031
AMN,1855,-0.0045550494389513
AMNB,2,-0.0188962207558489
AMOT,1314,0.0176088971269694
AMP,1716,-0.0057456178726631
AMPH,1643,0.1613308223477716
AMR,1800,0.0496005723142958
AMRC,1309,0.006598407281001
AMSC,1560,-0.0223880597014926
AMSF,209,-0.0091675834250091
AMSWA,1406,0.0273264401772526
AMT,43,-0.0024241199939396
AMTB,1483,-0.0239436619718309
AMTX,2023,0.0168067226890755
AMWD,1655,0.091800706159278
AMX,1569,0.0121477162293488
AMZN,7,-0.0222858962113977
AN,226,-0.0016848582521425
ANAB,1213,-0.0144578313253012
ANDE,1091,0.0168748630287089
ANET,1644,-0.0152847873107424
ANF,1600,-0.0363821829309758
HCI,1308,0.0201904761904763
ANIK,1856,-0.0082018927444794
ANIP,1221,0.0611854684512427
AON,472,-0.0074329879953954
AORT,1547,0.0468277945619335
AOS,1740,0.0306262380009143
AOSL,1207,-0.0157244477723699
APA,1747,0.0492443981240229
APAM,1361,0.0066727327873823
APD,1854,0.0211553255472409
APEI,1683,-0.0615942028985506
APH,104,0.0108359133126936
APLE,10,0.0193821926105388
APLS,1453,-0.0164935858277336
APPF,1208,-0.0182492806300166
APPN,1360,0.0311218335343788
APPS,1237,0.0018621973929235
APTV,232,0.0055899552803577
APYX,1298,-0.0061538461538461
AQN,1732,0.001310615989515
AQUA,1531,-0.003500823723229
ARCB,1327,0.0623700623700622
ARCC,1484,0.0041322314049587
ARCE,1591,-0.0142292490118577
ARCO,1102,-0.006053268765133
ARCT,1969,-0.0209230769230769
ARE,1914,-0.0441313927093071
ARES,1053,0.0065732357683243
ARGO,1368,0.0010327022375213
ARGX,1869,-0.0572919512594939
ARI,2013,-0.0348128807658834
ARLO,1917,-0.026315789473684
ARLP,1646,0.0057831325301205
ARMK,1035,0.0103260869565218
ARNC,1575,0.0503025718608167
AROC,1805,0.0271002710027099
AROW,2,-0.0218543046357615
ARTNA,1936,-0.0166873779513579
ARVN,1889,-0.0081566068515497
ARW,1990,0.0185608949911011
ARWR,1169,0.0040247678018576
ASB,119,-0.0224622030237581
ASGN,1693,-0.0085585585585584
ASH,1028,0.0088426016899194
ASIX,1601,0.0075591319190442
ASML,221,0.0104252667022808
ASND,1607,0.0203438653344134
ASPN,1422,-0.0728110599078339
ASPS,1083,-0.0397236614853195
ASR,8,0.0185547557481304
ASX,1799,0.0306834030683402
ATCO,1052,0.001953125
NTRA,1158,0.1631307929969103
ATCX,1235,-0.0016353229762877
ATEC,1105,0.0492910195813638
ATEN,1909,-0.0026281208935611
ATEX,1205,-0.006953642384106
ATGE,1523,-0.0069018404907974
ATHM,1351,0.0681967213114753
ATI,22,0.0258302583025831
ATKR,1170,0.0408848102999588
ATLC,1755,0.0006240249609985
ATNI,1456,-0.0306777645659928
ATO,42,-0.0117010903288715
ATOM,213,-0.0512820512820512
ATR,2002,0.0159355723098011
ATRA,1460,-0.1160493827160493
ATRC,1821,0.0174025974025975
ATRO,1346,0.0308398950131234
ATSG,1183,0.0535117056856186
ATUS,1378,-0.005050505050505
ATVI,1399,0.0191475409836063
ATXS,1152,0.1789819376026271
AU,172,0.0390156062424968
AUB,1676,-0.0136145221569673
AUDC,1178,-0.0018575851393187
AUPH,1355,-0.0165016501650165
AUY,1942,0.0274509803921569
AVA,113,0.0031614785992217
AVB,1845,-0.0164038952005565
AVD,1943,0.007187350263536
AVGO,74,0.0073364855541906
AVID,1241,-0.0092911218169304
AVNT,1933,0.0077928031171212
AVNW,1044,0.0202645651562058
AVT,1779,0.0167747707447998
AVY,1928,-0.0034030407816016
AWI,1078,-0.0204860669296348
AWK,243,-0.012964809801966
AX,1123,-0.0236336779911373
AXNX,1517,-0.0116491928773506
AXON,1921,0.0898607158903699
AXP,232,0.0077590666130236
AXS,1849,-0.0098814229249012
AXSM,1650,-0.0420882827394046
AXTA,1863,0.0298657718120805
AXTI,1321,-0.0274599542334096
AY,1796,-0.0286231884057972
AYI,1927,0.0066508558465663
AYX,1187,-0.000153115908743
AZRE,1703,0.0150602409638556
AZTA,1149,0.0079744816586921
AZUL,1492,-0.0441176470588235
AZZ,1037,0.014760147601476
BAH,407,0.0160456032935711
